glyph_name,ps_name,USV,DesignerOrder,bcp47tags,OTLang,assoc_feat,assoc_feat_val,assoc_uids,Comment
uni1238,uni1238,1238,310,,,,,,
uni1239,uni1239,1239,311,,,,,,
uni123A,uni123A,  123A,312,,,,,,
uni123B,uni123B,  123B,313,,,,,,
uni123C,uni123C,  123C,314,,,,,,
uni123D,uni123D,  123D,315,,,,,,
uni123E,uni123E,  123E,316,,,,,,
uni123F,uni123F,  123F,317,,,,,,
uni1240,uni1240,1240,318,,,,,,
uni1241,uni1241,1241,319,,,,,,
uni1242,uni1242,1242,320,,,,,,
uni1243,uni1243,1243,321,,,,,,
uni1244,uni1244,1244,322,,,,,,
uni1245,uni1245,1245,323,,,,,,
uni1246,uni1246,1246,324,,,,,,
uni1247,uni1247,1247,325,,,,,,
uni1248,uni1248,1248,326,,,,,,
uni124A,uni124A,  124A,327,,,cv80,0,,
uni124A.seb3,uni124A.seb3,,328,sgw,CHG,cv80,1,  124A,
uni124B,uni124B,  124B,329,,,,,,
uni124C,uni124C,  124C,330,,,,,,
uni124D,uni124D,  124D,331,,,cv85,0,,
uni124D.seb2,uni124D.seb2,,332,sgw,CHG,cv85,1,  124D,
uni1250,uni1250,1250,333,,,,,,
uni1251,uni1251,1251,334,,,,,,
uni1252,uni1252,1252,335,,,,,,
uni1253,uni1253,1253,336,,,,,,
uni1254,uni1254,1254,337,,,,,,
uni1255,uni1255,1255,338,,,,,,
uni1256,uni1256,1256,339,,,,,,
uni1258,uni1258,1258,340,,,,,,
uni125A,uni125A,  125A,341,,,,,,
uni125B,uni125B,  125B,342,,,,,,
uni125C,uni125C,  125C,343,,,,,,
uni125D,uni125D,  125D,344,,,,,,
uni1260,uni1260,1260,345,,,,,,
uni1261,uni1261,1261,346,,,,,,
uni1262,uni1262,1262,347,,,,,,
uni1263,uni1263,1263,348,,,,,,
uni1264,uni1264,1264,349,,,,,,
uni1265,uni1265,1265,350,,,,,,
uni1266,uni1266,1266,351,,,,,,
uni1267,uni1267,1267,352,,,,,,
uni1268,uni1268,1268,353,,,,,,
uni1269,uni1269,1269,354,,,,,,
uni126A,uni126A,  126A,355,,,,,,
uni126B,uni126B,  126B,356,,,,,,
uni126C,uni126C,  126C,357,,,,,,
uni126D,uni126D,  126D,358,,,,,,
uni126E,uni126E,  126E,359,,,,,,
uni126F,uni126F,  126F,360,,,,,,
uni1270,uni1270,1270,361,,,,,,
uni1271,uni1271,1271,362,,,,,,
uni1272,uni1272,1272,363,,,,,,
uni1273,uni1273,1273,364,,,,,,
uni1274,uni1274,1274,365,,,,,,
uni1275,uni1275,1275,366,,,,,,
uni1276,uni1276,1276,367,,,,,,
uni1277,uni1277,1277,368,,,,,,
uni1278,uni1278,1278,369,,,,,,
uni1279,uni1279,1279,370,,,,,,
uni127A,uni127A,  127A,371,,,,,,
uni127B,uni127B,  127B,372,,,,,,
uni127C,uni127C,  127C,373,,,,,,
uni127D,uni127D,  127D,374,,,,,,
uni127E,uni127E,  127E,375,,,,,,
uni127F,uni127F,  127F,376,,,,,,
uni1280,uni1280,1280,377,,,,,,
uni1281,uni1281,1281,378,,,,,,
uni1282,uni1282,1282,379,,,,,,
uni1283,uni1283,1283,380,,,,,,
uni1284,uni1284,1284,381,,,,,,
uni1285,uni1285,1285,382,,,,,,
uni1286,uni1286,1286,383,,,,,,
uni1287,uni1287,1287,384,,,cv17,0,,
uni1287.alt3,uni1287.alt3,,385,,,cv17,1,1287,
uni1288,uni1288,1288,386,,,cv18,0,,
uni1288.handwriting,uni1288.handwriting,,387,,,cv18,1,1288,
uni128A,uni128A,  128A,388,,,cv18,0,,
uni128A.handwriting,uni128A.handwriting,,389,,,cv18,1,  128A,
uni128B,uni128B,  128B,390,,,cv18,0,,
uni128B.handwriting,uni128B.handwriting,,391,,,cv18,1,  128B,
uni128C,uni128C,  128C,392,,,cv18,0,,
uni128C.handwriting,uni128C.handwriting,,393,,,cv18,1,  128C,
uni128D,uni128D,  128D,394,,,cv18,0,,
uni128D.handwriting,uni128D.handwriting,,395,,,cv18,1,  128D,
uni1290,uni1290,1290,396,,,,,,
uni1291,uni1291,1291,397,,,,,,
uni1292,uni1292,1292,398,,,,,,
uni1293,uni1293,1293,399,,,,,,
uni1294,uni1294,1294,400,,,,,,
uni1295,uni1295,1295,401,,,,,,
uni1296,uni1296,1296,402,,,,,,
uni1297,uni1297,1297,403,,,cv19,0,,
uni1297.cohen0,uni1297.cohen0,,404,,,cv19,1,1297,
uni1298,uni1298,1298,406,,,cv20,0,,
uni1298.gumuz,uni1298.gumuz,,407,guk,GMZ,cv20,1,1298,
uni1299,uni1299,1299,408,,,cv20,0,,
uni1299.gumuz,uni1299.gumuz,,409,guk,GMZ,cv20,1,1299,
uni129A,uni129A,  129A,410,,,cv20,0,,
uni129A.gumuz,uni129A.gumuz,,411,guk,GMZ,cv20,1,  129A,
uni129B,uni129B,  129B,412,,,cv20,0,,
uni129B.gumuz,uni129B.gumuz,,413,guk,GMZ,cv20,1,  129B,
uni129C,uni129C,  129C,414,,,cv20,0,,
uni129C.gumuz,uni129C.gumuz,,415,guk,GMZ,cv20,1,  129C,
uni129D,uni129D,  129D,416,,,cv20,0,,
uni129D.gumuz,uni129D.gumuz,,417,guk,GMZ,cv20,1,  129D,
uni129E,uni129E,  129E,418,,,cv20,0,,
uni129E.gumuz,uni129E.gumuz,,419,guk,GMZ,cv20,1,  129E,
uni129F,uni129F,  129F,420,,,cv21,0,,
uni129F.gumuz,uni129F.gumuz,,421,guk,GMZ,cv21,1,  129F,
uni129F.cohen8,uni129F.cohen8,,422,,,cv21,2,  129F,
uni129F.gumuz1,uni129F.gumuz1,,423,,,,,,duplicate of uni129F.gumuz
uni12A0,uni12A0,  12A0,424,,,,,,
uni12A1,uni12A1,  12A1,425,,,,,,
uni12A2,uni12A2,  12A2,426,,,,,,
uni12A3,uni12A3,  12A3,427,,,,,,
uni12A4,uni12A4,  12A4,428,,,,,,
uni12A5,uni12A5,  12A5,429,,,,,,
uni12A6,uni12A6,  12A6,430,,,,,,
uni12A7,uni12A7,  12A7,431,,,,,,
uni12A8,uni12A8,  12A8,432,,,,,,
uni12A9,uni12A9,  12A9,433,,,,,,
uni12AA,uni12AA,  12AA,434,,,,,,
uni12AB,uni12AB,  12AB,435,,,,,,
uni12AC,uni12AC,  12AC,436,,,,,,
